molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,assay_chembl_id
CHEMBL941,CHEMBL217,IC50,,,CHEMBL1909140
CHEMBL941,CHEMBL234,IC50,,,CHEMBL1909141
CHEMBL941,CHEMBL219,IC50,,,CHEMBL1909142
CHEMBL941,CHEMBL238,IC50,,,CHEMBL1909143
CHEMBL941,CHEMBL252,IC50,,,CHEMBL1909144
CHEMBL941,CHEMBL206,IC50,,,CHEMBL1909145
CHEMBL941,CHEMBL242,IC50,,,CHEMBL1909146
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909147
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909148
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909149
CHEMBL941,CHEMBL2034,IC50,,,CHEMBL1909150
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909151
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909152
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909153
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909154
CHEMBL941,CHEMBL3392921,IC50,,,CHEMBL1909155
CHEMBL941,CHEMBL231,IC50,,,CHEMBL1909156
CHEMBL941,CHEMBL1941,IC50,1963.0,nM,CHEMBL1909157
CHEMBL941,CHEMBL402,IC50,,,CHEMBL1909158
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909159
CHEMBL941,CHEMBL5486,IC50,,,CHEMBL1909160
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909161
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909162
CHEMBL941,CHEMBL1909043,IC50,,,CHEMBL1909163
CHEMBL941,CHEMBL1798,IC50,,,CHEMBL1909164
CHEMBL941,CHEMBL4358,IC50,,,CHEMBL1909165
CHEMBL941,CHEMBL4644,IC50,,,CHEMBL1909166
CHEMBL941,CHEMBL259,IC50,,,CHEMBL1909167
CHEMBL941,CHEMBL4608,IC50,,,CHEMBL1909168
CHEMBL941,CHEMBL1951,IC50,,,CHEMBL1909169
CHEMBL941,CHEMBL216,IC50,,,CHEMBL1909170
CHEMBL941,CHEMBL211,IC50,,,CHEMBL1909171
CHEMBL941,CHEMBL245,IC50,,,CHEMBL1909172
CHEMBL941,CHEMBL1821,IC50,,,CHEMBL1909173
CHEMBL941,CHEMBL2035,IC50,,,CHEMBL1909174
CHEMBL941,CHEMBL4777,IC50,,,CHEMBL1909175
CHEMBL941,CHEMBL4018,IC50,,,CHEMBL1909176
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909177
CHEMBL941,CHEMBL3048,IC50,,,CHEMBL1909178
CHEMBL941,CHEMBL3464,IC50,,,CHEMBL1909179
CHEMBL941,CHEMBL236,IC50,,,CHEMBL1909180
CHEMBL941,CHEMBL237,IC50,,,CHEMBL1909181
CHEMBL941,CHEMBL233,IC50,,,CHEMBL1909182
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909183
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909184
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909185
CHEMBL941,CHEMBL1827,IC50,,,CHEMBL1909186
CHEMBL941,CHEMBL250,IC50,,,CHEMBL1909187
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909188
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909189
CHEMBL941,CHEMBL240,IC50,,,CHEMBL1909190
CHEMBL941,CHEMBL1909044,IC50,,,CHEMBL1909191
CHEMBL941,CHEMBL4074,IC50,,,CHEMBL1909192
CHEMBL941,CHEMBL4801,IC50,,,CHEMBL1909193
CHEMBL941,CHEMBL4071,IC50,,,CHEMBL1909194
CHEMBL941,CHEMBL248,IC50,,,CHEMBL1909195
CHEMBL941,CHEMBL332,IC50,,,CHEMBL1909196
CHEMBL941,CHEMBL321,IC50,,,CHEMBL1909197
CHEMBL941,CHEMBL299,IC50,,,CHEMBL1909198
CHEMBL941,CHEMBL3385,IC50,,,CHEMBL1909199
CHEMBL941,CHEMBL4040,IC50,,,CHEMBL1909200
CHEMBL941,CHEMBL260,IC50,,,CHEMBL1909201
CHEMBL941,CHEMBL4445,IC50,,,CHEMBL1909202
CHEMBL941,CHEMBL203,IC50,,,CHEMBL1909203
CHEMBL941,CHEMBL1841,IC50,,,CHEMBL1909204
CHEMBL941,CHEMBL1824,IC50,,,CHEMBL1909205
CHEMBL941,CHEMBL258,IC50,,,CHEMBL1909206
CHEMBL941,CHEMBL3243,IC50,,,CHEMBL1909207
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909208
CHEMBL941,CHEMBL273,IC50,,,CHEMBL1909209
CHEMBL941,CHEMBL3459,IC50,,,CHEMBL1909210
CHEMBL941,CHEMBL224,IC50,1891.0,nM,CHEMBL1909211
CHEMBL941,CHEMBL1833,IC50,,,CHEMBL1909104
CHEMBL941,CHEMBL225,IC50,,,CHEMBL1909105
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909106
CHEMBL941,CHEMBL5017,IC50,,,CHEMBL1909107
CHEMBL941,CHEMBL3371,IC50,,,CHEMBL1909108
CHEMBL941,CHEMBL228,IC50,1402.0,nM,CHEMBL1909109
CHEMBL941,CHEMBL287,IC50,,,CHEMBL1909110
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909111
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909112
CHEMBL941,CHEMBL249,IC50,,,CHEMBL1909113
CHEMBL941,CHEMBL2327,IC50,,,CHEMBL1909114
CHEMBL941,CHEMBL3072,IC50,,,CHEMBL1909115
CHEMBL941,CHEMBL1835,IC50,198.0,nM,CHEMBL1909116
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909117
CHEMBL941,CHEMBL1868,IC50,,,CHEMBL1909118
CHEMBL941,CHEMBL5144,IC50,,,CHEMBL1909119
CHEMBL941,CHEMBL1889,IC50,,,CHEMBL1909120
CHEMBL941,CHEMBL1862,IC50,234.0,nM,CHEMBL1925856
CHEMBL941,CHEMBL612552,IC50,13.0,nM,CHEMBL1959559
CHEMBL941,CHEMBL612552,IC50,5000.0,nM,CHEMBL1959558
CHEMBL941,CHEMBL3879801,IC50,,,CHEMBL1959555
CHEMBL941,CHEMBL3879801,IC50,500.0,nM,CHEMBL1959554
CHEMBL941,CHEMBL3879801,IC50,100.0,nM,CHEMBL1959553
CHEMBL941,CHEMBL385,IC50,100.0,nM,CHEMBL2044545
CHEMBL941,CHEMBL612545,IC50,216.8,nM,CHEMBL2060951
CHEMBL941,CHEMBL385,IC50,384.4,nM,CHEMBL2060952
CHEMBL941,CHEMBL5393,IC50,500.0,nM,CHEMBL2075187
CHEMBL941,CHEMBL5393,IC50,900.0,nM,CHEMBL2077078
CHEMBL941,CHEMBL3879801,IC50,18520.0,nM,CHEMBL2185455
CHEMBL941,CHEMBL3879801,IC50,1863.0,nM,CHEMBL2185456
CHEMBL941,CHEMBL3879801,IC50,1444.0,nM,CHEMBL2185457
CHEMBL941,CHEMBL3879801,IC50,2377.0,nM,CHEMBL2185458
CHEMBL941,CHEMBL3879801,IC50,960.0,nM,CHEMBL2185891
CHEMBL941,CHEMBL3879801,IC50,8615.0,nM,CHEMBL2185892
CHEMBL941,CHEMBL3879801,IC50,2951.0,nM,CHEMBL2186413
CHEMBL941,CHEMBL3879801,IC50,110.0,nM,CHEMBL2186414
CHEMBL941,CHEMBL3879801,IC50,129.0,nM,CHEMBL2186415
CHEMBL941,CHEMBL3879801,IC50,362.0,nM,CHEMBL2186416
CHEMBL941,CHEMBL3879801,IC50,17083.0,nM,CHEMBL2186417
CHEMBL941,CHEMBL3879801,IC50,3763.0,nM,CHEMBL2186418
CHEMBL941,CHEMBL3879801,IC50,2547.0,nM,CHEMBL2186419
CHEMBL941,CHEMBL3879801,IC50,424.0,nM,CHEMBL2186420
CHEMBL941,CHEMBL3879801,IC50,3005.0,nM,CHEMBL2186854
CHEMBL941,CHEMBL3879801,IC50,1834.0,nM,CHEMBL2186852
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL2217200
CHEMBL941,CHEMBL3959,IC50,400.0,nM,CHEMBL2217199
CHEMBL941,CHEMBL3959,IC50,,,CHEMBL2217197
CHEMBL941,CHEMBL3879801,IC50,1000.0,nM,CHEMBL2318556
CHEMBL941,CHEMBL3879801,IC50,11100.0,nM,CHEMBL2318557
CHEMBL941,CHEMBL3879801,IC50,590.0,nM,CHEMBL2318558
CHEMBL941,CHEMBL3879801,IC50,1600.0,nM,CHEMBL2318559
CHEMBL941,CHEMBL3879801,IC50,240.0,nM,CHEMBL2318560
CHEMBL941,CHEMBL3879801,IC50,9500.0,nM,CHEMBL2318561
CHEMBL941,CHEMBL3879801,IC50,3300.0,nM,CHEMBL2318562
CHEMBL941,CHEMBL3879801,IC50,12200.0,nM,CHEMBL2318563
CHEMBL941,CHEMBL3879801,IC50,5600.0,nM,CHEMBL2318564
CHEMBL941,CHEMBL3879801,IC50,10000.0,nM,CHEMBL2318565
CHEMBL941,CHEMBL3879801,IC50,12500.0,nM,CHEMBL2318769
CHEMBL941,CHEMBL3879801,IC50,9200.0,nM,CHEMBL2318770
CHEMBL941,CHEMBL3879801,IC50,3600.0,nM,CHEMBL2318771
CHEMBL941,CHEMBL3879801,IC50,5200.0,nM,CHEMBL2318772
CHEMBL941,CHEMBL3879801,IC50,12200.0,nM,CHEMBL2318773
CHEMBL941,CHEMBL3879801,IC50,500.0,nM,CHEMBL2320776
CHEMBL941,CHEMBL612558,IC50,13500.0,nM,CHEMBL2320775
CHEMBL941,CHEMBL1862,IC50,749.6,nM,CHEMBL2320765
CHEMBL941,CHEMBL1862,IC50,114.3,nM,CHEMBL2320766
CHEMBL941,CHEMBL1862,IC50,173.9,nM,CHEMBL2320767
